Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
primary	Jew_Ashkenazi	Jew_Iraqi	0.027274481695727718	0.0006352172940577109	0.026029455799374605	0.028519507592080832	162380	90518	1444.6620311236566	52967.53380101624	22
primary	Jew_Ashkenazi	Jew_Turkish	0.004393095186199773	0.00043400160853939525	0.0035424520334625584	0.005243738338936987	165765	100428	232.0274623194213	52816.39766156207	22
primary	Jew_Ashkenazi	Jew_Yemenite	0.028354060906368803	0.00045844129629176984	0.027455515965636935	0.029252605847100672	166171	94061	1515.7031139650842	53456.29745842267	22
primary	Jew_Ashkenazi	Lebanese	0.007455562459110745	0.0007140118013183199	0.006056099328526838	0.008855025589694651	167282	99297	397.4125773035938	53304.17114512308	22
primary	Jew_Ashkenazi	Lebanese_Christian	0.006783166123863392	0.0005883730102006838	0.005629955023870052	0.007936377223856733	166642	102922	358.634335064509	52871.229823315414	22
primary	Jew_Ashkenazi	Lebanese_Muslim	0.006103783828964277	0.0005389445178244036	0.005047452574028446	0.007160115083900108	170323	114358	324.357244718345	53140.35585257345	22
primary	Jew_Ashkenazi	Maltese	0.006646429101864536	0.0004999964801577591	0.005666436000755328	0.007626422202973744	165942	99721	351.53680337514896	52891.07850056381	22
primary	Jew_Ashkenazi	Palestinian	0.01320502506501451	0.0004221987181431555	0.012377515577453925	0.014032534552575094	182278	97874	708.1271195631944	53625.579359126816	22
primary	Jew_Ashkenazi	Sicilian	0.005083613921845823	0.000548805634871385	0.004007954877497908	0.006159272966193737	168832	114502	268.10629445776124	52739.31076977101	22
primary	Jew_Iraqi	Jew_Turkish	0.02443332503702394	0.0005058321876851551	0.023441893949161036	0.025424756124886847	164520	80744	1295.2043924082589	53009.74756590145	22
primary	Jew_Iraqi	Jew_Yemenite	0.041776346565103456	0.00047381435591547046	0.040847670427509135	0.04270502270269778	164435	76963	2226.567949146499	53297.335267856855	22
primary	Jew_Iraqi	Lebanese	0.023612212029572505	0.00088247074476805	0.02188256936982713	0.02534185468931788	165664	81488	1258.4211683902142	53295.3527104592	22
primary	Jew_Iraqi	Lebanese_Christian	0.02184981261315806	0.0005863220077268595	0.020700621478013412	0.022999003748302705	165129	87113	1153.5905511037997	52796.35901358267	22
primary	Jew_Iraqi	Lebanese_Muslim	0.022098878996256583	0.0006905061608033204	0.020745486921082076	0.02345227107143109	168996	97004	1173.8938993478507	53120.06548145276	22
primary	Jew_Iraqi	Maltese	0.026538754706271702	0.0005149371107484645	0.02552947796920471	0.027548031443338693	164557	80045	1408.6332558566496	53078.34792729585	22
primary	Jew_Iraqi	Palestinian	0.028174589606594157	0.0005911839976176012	0.027015868971263658	0.029333310241924655	182094	83170	1508.9340788112343	53556.55929263558	22
primary	Jew_Iraqi	Sicilian	0.02501277532074681	0.0007644236006039556	0.023514505063563056	0.02651104557793056	167821	95158	1323.805715312403	52925.183164875525	22
primary	Jew_Turkish	Jew_Yemenite	0.022752316531728004	0.0005359407514965146	0.021701872658794835	0.023802760404661172	167826	87617	1213.745329747272	53346.0110778043	22
primary	Jew_Turkish	Lebanese	0.003851796946552487	0.00039656307429720695	0.0030745333209299614	0.004629060572175013	168622	93716	205.3152029022568	53303.74517431978	22
primary	Jew_Turkish	Lebanese_Christian	0.003284855706867514	0.0004941959254652551	0.002316231692955614	0.004253479720779414	168233	100054	173.69647974865433	52877.963371576465	22
primary	Jew_Turkish	Lebanese_Muslim	0.0024205003354741106	0.00040915142229581975	0.001618563547774304	0.003222437123173917	171409	109838	128.61639908253517	53136.28641052954	22
primary	Jew_Turkish	Maltese	0.003375297717429961	0.0004863969457409108	0.002421959703777776	0.004328635731082146	167550	93805	178.58632523232373	52909.7994260204	22
primary	Jew_Turkish	Palestinian	0.008944505587150755	0.00032753363927455644	0.008302539654172625	0.009586471520128885	182378	101645	479.32215282911534	53588.445796007596	22
primary	Jew_Turkish	Sicilian	0.001514533263680683	0.00043301277801101735	0.000665828218779089	0.002363238308582277	170152	109725	79.88065919516741	52742.75653810207	22
primary	Jew_Yemenite	Lebanese	0.02198409904441688	0.00044856210397754896	0.021104917320620885	0.022863280768212875	168303	88478	1179.089532505505	53633.74364913756	22
primary	Jew_Yemenite	Lebanese_Christian	0.021490970194997145	0.00040705203148764423	0.020693148213281363	0.022288792176712927	168162	88782	1143.403307619398	53203.89434468479	22
primary	Jew_Yemenite	Lebanese_Muslim	0.020936704433011127	0.0006196114303847115	0.01972226602945709	0.022151142836565163	171252	100033	1119.7717041214883	53483.66586079957	22
primary	Jew_Yemenite	Maltese	0.025765515193939683	0.0006994110337310049	0.024394669567826915	0.02713636082005245	168015	86264	1377.5530190172483	53464.990265021486	22
primary	Jew_Yemenite	Palestinian	0.02478559173144424	0.0003224444056308409	0.024153600696407793	0.02541758276648069	182206	86474	1333.4346573487069	53798.78244573217	22
primary	Jew_Yemenite	Sicilian	0.025225567668412736	0.0005537320930369926	0.02414025276606023	0.02631088257076524	170623	96947	1346.1692102142297	53365.26923435275	22
primary	Lebanese	Lebanese_Christian	0.0025603343431141764	0.00047038571103357303	0.0016383783494883734	0.0034822903367399795	168956	100824	136.1144651032827	53162.769725505634	22
primary	Lebanese	Lebanese_Muslim	0.00212047306374759	0.00039147716549574275	0.0013531778193759342	0.002887768308119246	171817	110269	113.32525543451662	53443.38363545761	22
primary	Lebanese	Maltese	0.00586626158891908	0.0005714138281193172	0.004746290485805219	0.006986232692032942	168595	92938	313.06281280723994	53366.66428217106	22
primary	Lebanese	Palestinian	0.007959797035272385	0.00025261838444628224	0.007464665001757672	0.008454929068787097	182390	103400	428.7164871244689	53860.22849887882	22
primary	Lebanese	Sicilian	0.004816982050724888	0.0005514568441480176	0.0037361266361947733	0.0058978374652550025	171074	107929	256.464451492531	53241.728698975894	22
primary	Lebanese_Christian	Lebanese_Muslim	0.0016241650946449376	0.0004958853705530705	0.0006522297683609195	0.002596100420928956	171458	110631	86.1165008154636	53022.01180126317	22
